stimFile,correctAnswer,intensity,stimuliGender
stims\IMG_0001.jpg,1,2,1
stims\IMG_0002.jpg,4,1,1
stims\IMG_0003.jpg,3,2,1
stims\IMG_0004.jpg,1,1,1
stims\IMG_0005.jpg,3,1,1
stims\IMG_0006.jpg,2,2,1
stims\IMG_0007.jpg,1,1,1
stims\IMG_0008.jpg,4,1,1
stims\IMG_0009.jpg,4,2,1
stims\IMG_0010.jpg,1,1,1
stims\IMG_0011.jpg,2,2,1
stims\IMG_0012.jpg,3,1,1
stims\IMG_0013.jpg,2,1,2
stims\IMG_0014.jpg,2,1,2
stims\IMG_0015.jpg,3,2,2
stims\IMG_0016.jpg,4,1,2
stims\IMG_0017.jpg,2,1,2
stims\IMG_0018.jpg,2,2,2
stims\IMG_0019.jpg,4,2,2
stims\IMG_0020.jpg,3,1,2
stims\IMG_0021.jpg,4,2,2
stims\IMG_0022.jpg,3,2,2
stims\IMG_0023.jpg,1,2,2
stims\IMG_0024.jpg,1,2,2
